 # New Simulation
           # time                x                y                z             Mass           Radius      Temperature             n_SN         Eint_inj           Ek_inj
  2.438847218E+14  4.354755859E+20 -5.469814453E+20  7.534179687E+18  1.741564911E+36  3.616466625E+19  2.872249763E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.459828473E+14 -5.515019531E+20  3.767089844E+20 -1.175332031E+20  1.671021793E+36  6.027423691E+19  2.993503391E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.481123285E+14 -2.817783203E+20  4.686259766E+20  1.552041016E+20  1.650512687E+36  6.629951023E+19  3.030700364E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.502366283E+14 -4.972558594E+20  6.328710938E+19  1.838339844E+20  1.614752800E+36  1.115093146E+20  3.097817450E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.523202281E+14  1.973955078E+20  2.727373047E+20 -4.369824219E+19  1.654797540E+36  4.219086748E+19  3.022852816E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.543906333E+14 -3.797226562E+20  2.109570312E+20  3.194492188E+20  1.571483447E+36  6.930369335E+19  3.183113009E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.565131204E+14  7.835546875E+19 -1.989023437E+20 -7.534179687E+20  1.622962846E+36  2.030595729E+20  3.082146590E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.586552280E+14 -3.706816406E+20 -4.731464844E+20 -1.416425781E+20  1.335385810E+36  1.416452157E+20  3.745890786E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.607276740E+14 -5.394472656E+20  7.624589844E+20  2.682167969E+20  1.650377678E+36  9.643412988E+19  3.030948291E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.628280906E+14  2.320527344E+20 -7.262949219E+20  2.139707031E+20  1.734333832E+36  6.329249422E+19  2.884225233E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.649186542E+14  5.047900391E+20 -3.330107422E+20 -5.876660156E+19  1.441937985E+36  4.219086748E+19  3.469087751E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.670275657E+14  2.019160156E+20 -2.139707031E+20  2.561621094E+20  1.564741833E+36  6.329667786E+19  3.196827296E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.691615532E+14 -4.053388672E+20 -1.371220703E+20 -4.671191406E+19  1.500149302E+36  5.123368461E+19  3.334474373E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.712274581E+14  5.334199219E+20  2.320527344E+20  1.958886719E+20  1.577047003E+36  5.726445003E+19  3.171883522E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.733659317E+14 -5.288994141E+20 -3.058876953E+20 -1.431494141E+20  1.500826452E+36  4.821846832E+19  3.332969909E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.754590668E+14 -5.409541016E+20 -1.491767578E+20  9.794433594E+19  1.753262747E+36  4.219086748E+19  2.853086002E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.796260054E+14 -6.012275391E+20 -5.710908203E+20  2.862988281E+19  1.710238514E+36  6.027406964E+19  2.924860691E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.817504940E+14 -2.561621094E+20 -4.671191406E+20 -1.054785156E+20  1.845182362E+36  1.958901611E+20  2.710956654E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.838241503E+14  7.669794922E+20 -5.168447266E+20  1.958886719E+19  1.397455838E+36  5.725924478E+19  3.579511613E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.859546295E+14  3.706816406E+20  4.008183594E+20  1.115058594E+20  1.720973490E+36  1.084925704E+20  2.906616186E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.880314473E+14  1.220537109E+20  6.132822266E+20 -7.534179687E+18  1.487004629E+36  7.835585699E+19  3.363950121E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.901321414E+14 -2.019160156E+20 -3.405449219E+20 -9.945117188E+19  1.478334165E+36  9.643765798E+19  3.383679766E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.922400830E+14  3.284902344E+20 -6.178027344E+20 -1.054785156E+20  1.481285813E+36  9.945359433E+19  3.376937359E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.943833473E+14 -3.691748047E+20  7.639658203E+20  4.068457031E+19  1.698959745E+36  3.315091433E+19  2.944277765E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.964415442E+14 -5.093105469E+20 -3.917773437E+19 -1.958886719E+20  1.572203607E+36  6.931812983E+19  3.181654959E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  2.985609012E+14 -1.280810547E+20 -3.631474609E+20  7.684863281E+19  1.540761121E+36  3.616466625E+19  3.246583350E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.006637451E+14 -1.597246094E+20 -2.320527344E+20 -1.717792969E+20  1.595361314E+36  6.329189613E+19  3.135471168E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
 # Simulation Res
           # time                x                y                z             Mass           Radius      Temperature             n_SN         Eint_inj           Ek_inj
  3.027779232E+14  6.313642578E+20 -6.283505859E+20 -2.064365234E+20  1.673485446E+36  5.123207809E+19  2.989096449E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.048711861E+14  5.952001953E+20 -5.650634766E+20 -1.099990234E+20  1.688977975E+36  3.616466625E+19  2.961678291E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.070081227E+14  7.051992188E+20  3.797226563E+20  2.591757812E+20  1.669213283E+36  1.506859426E+20  2.996746702E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.090966155E+14 -6.961582031E+20 -2.923261719E+20 -1.295878906E+20  1.638533679E+36  1.115079443E+20  3.052857239E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.111749219E+14 -5.515019531E+20  3.224628906E+20 -2.621894531E+20  1.516342779E+36  1.717841018E+20  3.298864526E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.132728421E+14  6.780761719E+19 -5.741044922E+20  1.356152344E+19  1.820542752E+36  3.315091433E+19  2.747647314E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.153846817E+14  2.260253906E+20  3.465722656E+20 -2.019160156E+20  1.758701894E+36  1.205467131E+20  2.844262248E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
  3.175076123E+14 -4.867080078E+20  1.657519531E+19  9.493066406E+19  1.565734533E+36  9.041035916E+19  3.194800457E+06  1.000000000E+00  0.000000000E+00  0.000000000E+00
